ITEM,Lang,Generic English,Source Text, Sanity Check1, Sanity Check2, Sanity Check3, Sanity Check4
"CM003_QText","deAT","Later in this interview, we will be asking questions about household and family finances, for example about your savings for old-age and financial support to children and other relatives. We only need to ask these questions of one of you. Which of you would be the one most able to answer questions about your finances?","Später in diesem Interview werden wir Fragen über die Haushalts- und Familienfinanzen stellen, z.B. über Ihre Altersvorsorge und finanzielle Unterstützung für Kinder oder andere Verwandte. Diese Fragen müssen wir nur einem von Ihnen stellen. Wer von Ihnen ist am besten in der Lage, Fragen über finanzielle Angelegenheiten zu beantworten?","","","",""
"CM003_Iwer","deAT","Code one only financial respondent","Nur eine Person als Auskunftgeber fĂźr Finanzen angeben","","","",""
"CM003_Answer_resp_a1","deAT","1. ^MN002_Person[1].Name","1. Name von Person 1","","","","1"
"CM003_Answer_resp_a2","deAT","2. ^MN002_Person[2].Name","2. Name von Person 2","","","","1"
"CM003_QText","deDE","Later in this interview, we will be asking questions about household and family finances, for example about your savings for old-age and financial support to children and other relatives. We only need to ask these questions of one of you. Which of you would be the one most able to answer questions about your finances?","Später während des Interviews werde ich einige Fragen über finanzielle Angelegenheiten des Haushalts und der Familie stellen, z.B. über Ersparnisse für das Alter und finanzielle Unterstützung für Kinder und andere Verwandte. Wir brauchen diese Fragen nur einem von Ihnen zu stellen. Wer von Ihnen ist am besten in der Lage, Fragen über finanzielle Angelegenheiten zu beantworten?","","","",""
"CM003_Iwer","deDE","Code one only financial respondent","Nur einen Informanten zum Thema ""Finanzen"" auswĂ¤hlen","","","",""
"CM003_Answer_resp_a1","deDE","1. ^MN002_Person[1].Name","1. Name der Person 1","","","","1"
"CM003_Answer_resp_a2","deDE","2. ^MN002_Person[2].Name","2. Name der Person 2","","","","1"
"DN001_QText","deAT","Let me just repeat that this interview is confidential. Your answers will be used only for research purposes. If we should come to any question you don't want to answer, just let me know and I will go on to the next question. Now I would like to begin by asking some questions about your background.","Ich möchte nochmals betonen, dass dieses Interview streng vertraulich behandelt wird. Ihre Antworten werden nur in anonymisierter Form für gemeinnützige Forschungszwecke verwendet. Falls Sie eine Frage nicht beantworten wollen, gehen wir zur nächsten Frage. Zu Beginn möchte ich Ihnen einige Fragen zu Ihrem persönlichen und familiären Hintergrund stellen.","","","",""
"DN001_Iwer","deAT","","","1","","",""
"DN001_Answer_resp_a1","deAT","1. Continue","1. Weiter","","","",""
