English,Generic
German,Austria
German,Germany
Swedish,Sweden
Dutch,Netherlands
Spanish,Spain
Italian,Italy
French,France
Danish,Denmark
Greek,Greece
German,Switzerland
French,Switzerland
Italian,Switzerland
French,Belgium
Dutch,Belgium
Hebrew,Israel
Arabic,Israel
Russian,Israel
Czech,Czech
Polish,Poland
Portuguese,Portugal
Estonian,Estonia
Russian,Estonia
Hungarian,Hungary
French,Luxembourg
German,Luxembourg
Slovenian,Slovenia
Catalan,Spain
Croatian,Croatia
Portuguese,Luxembourg
Finland,Finnish
Bulgarian,Bulgaria
Greek,Cyprus
Latvian,Latvia
Lithuanian,Lithuania
Russian,Latvia
Romanian,Romania
Slovak,Slovakia
Maltese,Malta
Swedish,Finland
